source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
Fibroblast,MCF10A,MMP1,ITGA2,0.4541159,0.485,0.20620967,0.00045393239379969055,0.11332508515424311,0.13541879,0.91722506,0.05992506245662432,0.45959663833201886
MCF7,Fibroblast,COL6A2,CD44,0.776845,1.0,0.5962168,-0.061671513956928325,-0.11847644339369845,0.10593819,0.9496016,1.0,0.4703366291142306
Fibroblast,Fibroblast,COL6A2,ITGA2_ITGB1,0.78619033,0.0,0.51024836,0.004905440322496739,0.2693377261218224,0.13447891,0.94574255,0.001227423342632392,0.4703366291142306
MCF10A,MCF7,FN1,CD44,0.80089104,1.0,0.59754235,-0.05556889758764523,-0.2837184357419964,0.102662124,0.9496547,1.0,0.4832809170575003
MCF7,MCF10A,COL6A2,CD44,0.7444632,1.0,0.540383,-0.08256447441366956,-0.35731336455010343,0.0960174,0.94719607,1.0,0.4832809170575003
MCF10A,Fibroblast,COL6A1,CD44,0.78099096,1.0,0.6019513,-0.04175928719489187,-0.028438471517873376,0.11518748,0.9498302,1.0,0.4964607102330102
MCF7,Fibroblast,PKM,CD44,0.7423147,0.001,0.54845643,0.029600191259353127,0.16359224182498555,0.12711284,0.9475657,0.000988000884701822,0.4964607102330102
Fibroblast,MCF10A,FN1,ITGA2,0.78338724,0.358,0.5030245,0.0011585619609793115,0.08878934922327475,0.12819023,0.9453755,0.03380779671750416,0.4964607102330102
Fibroblast,Fibroblast,MMP1,ITGA2,0.45765352,0.0,0.20944674,0.0031781526360298825,0.24124174750125182,0.13754459,0.91781443,0.003503329950157863,0.4988805228135698
MCF10A,MCF10A,LGALS1,ITGB1,1.698364,1.0,1.6952952,-0.062331770928061254,-0.20297037344371582,0.10751464,0.9694862,1.0,0.5022651052889049
MCF10A,MCF10A,COL6A2,CD44,0.79850477,1.0,0.6081305,-0.05354777071743655,-0.2656726885862595,0.10805504,0.95007294,1.0,0.5098778083553155
Fibroblast,MCF10A,COL6A2,ITGA2_ITGB1,0.7826527,0.267,0.5023624,0.002181220080266547,0.14142106377481367,0.1324005,0.9453415,0.02454530558223333,0.5098778083553155
MCF7,Fibroblast,COL4A1,CD44,0.736784,0.002,0.54080653,0.03559488001354444,0.17822558836689817,0.13115817,0.9472156,0.0014101812726340808,0.5098778083553155
MCF10A,MCF7,LGALS1,ITGB1,1.6836419,1.0,1.6131799,-0.07189931964102482,-0.2795960961885564,0.10230693,0.96874315,1.0,0.5193365034396124
Fibroblast,MCF7,COL6A1,CD44,0.81869364,0.991,0.6185995,-0.025720929845957627,0.008495356815560129,0.118373215,0.9504762,0.808713802224354,0.5235344904510744
MCF7,Fibroblast,LGALS1,ITGB1,1.6742389,1.0,1.8159076,-0.06621554076461568,-0.053636853147359886,0.1151638,0.9704865,1.0,0.5366113387798239
MCF10A,Fibroblast,COL3A1,ITGA2_ITGB1,0.7669234,0.995,0.492608,-0.014193778657635717,0.01927877314992421,0.11895209,0.94483274,0.9450685874854275,0.5374328767258247
MCF10A,MCF10A,FN1,CD44,0.8185928,1.0,0.6333132,-0.044147370898762514,-0.21709489277553118,0.1088078,0.95102656,1.0,0.5374328767258247
MCF10A,MCF7,COL6A1,CD44,0.73090744,1.0,0.51476496,-0.07407377434051583,-0.3338989356407436,0.098503776,0.9459682,1.0,0.5374328767258247
Fibroblast,MCF10A,COL4A2,ITGA2_ITGB1,0.47942317,0.677,0.2290224,-0.0023600696096010712,-0.02961159971385685,0.114213765,0.921122,0.3260208034654106,0.5377573534858584
MCF7,Fibroblast,FN1,CD44,0.80642235,1.0,0.6371266,-0.04715008893322219,-0.05934877521716353,0.10946299,0.95116615,1.0,0.5515752608366818
MCF7,MCF10A,LGALS1,ITGB1,1.6378436,1.0,1.6217164,-0.0898673593323027,-0.280614578847459,0.102848314,0.96882296,1.0,0.5540855808939831
Fibroblast,MCF10A,COL6A1,CD44,0.8363954,0.984,0.6556308,-0.014299403157074909,0.07511889978202535,0.12545942,0.95182675,0.6290693356446598,0.5659634190894565
MCF7,MCF7,LGALS1,ITGB1,1.6231215,1.0,1.5431651,-0.09943490804526627,-0.3572403015922996,0.097866625,0.9680643,1.0,0.5717547768747797
MCF7,MCF10A,TNC,ITGA2,0.48334146,0.964,0.23255444,-0.02104452347463663,-0.18386089013874707,0.11133252,0.9216762,1.0,0.5762291914855304
MCF10A,Fibroblast,PKM,CD44,0.72877336,0.0,0.52972674,0.020982100030754076,0.1717988909885113,0.12277196,0.94669574,0.00591261072656969,0.5805996421636179
Fibroblast,MCF7,COL6A2,CD44,0.85299826,0.993,0.6591754,-0.026204930703726276,0.011550861377096933,0.11712491,0.95195025,0.8813632953963011,0.5805996421636179
MCF10A,MCF10A,COL3A1,ITGA2_ITGB1,0.7633858,0.986,0.4849946,-0.01691799889986591,-0.1086378891970845,0.11711365,0.94442534,0.7019325936173094,0.5805996421636179
MCF7,Fibroblast,COL6A3,CD44,1.6018504,0.094,1.7373195,0.01523910884751676,0.16786328530666195,0.12256621,0.96984625,0.006526415937235273,0.5896149011018403
MCF7,MCF7,COL6A2,CD44,0.72676146,1.0,0.50986105,-0.09398600110255229,-0.42393690751656865,0.09059414,0.94572306,1.0,0.5954860502647048
Fibroblast,MCF7,FN1,CD44,0.8537328,0.996,0.66004425,-0.027227588823013512,-0.04108085317444199,0.11340039,0.95198035,1.0,0.5954860502647048
MCF10A,Fibroblast,COL6A3,CD44,1.5752348,0.333,1.7005061,0.0033993038479393513,0.11853270505621571,0.11996906,0.96953154,0.03128125713399825,0.6076614959757943
MCF10A,Fibroblast,COL6A2,CD44,0.8308866,1.0,0.67096424,-0.03265481026069532,-0.026835767429854496,0.1192196,0.952354,1.0,0.6106249492182532
Fibroblast,Fibroblast,COL4A2,ITGA2_ITGB1,0.48296082,0.303,0.23261757,0.0003641506326291209,0.09830506263315186,0.11600668,0.921686,0.17277110696711007,0.6142981867366595
Fibroblast,Fibroblast,COL6A3,CD44,1.5712991,0.044,1.6950625,0.0016522183501884585,0.12817054117605675,0.119585015,0.9694841,0.03197854219335094,0.6258905404652066
MCF7,MCF10A,COL6A1,CD44,0.7233822,1.0,0.5139554,-0.07654698117475853,-0.3405544652929997,0.09834887,0.945928,1.0,0.6260180910963528
Fibroblast,MCF10A,COL6A2,CD44,0.8707,0.987,0.6986357,-0.014783404014843557,0.07817440434356215,0.12413637,0.95326257,0.7275713420116319,0.6260180910963528
Fibroblast,Fibroblast,COL6A1,ITGA2_ITGB1,0.7518857,0.0,0.47883978,0.005389441180265387,0.2662822215602856,0.13591218,0.94408923,0.0007662743501634319,0.6416677786437726
MCF10A,Fibroblast,FN1,CD44,0.85097456,1.0,0.6987488,-0.023254410442021277,0.0217420283808738,0.12005013,0.9532662,1.0,0.6416677786437726
Fibroblast,Fibroblast,COL1A2,ITGA2_ITGB1,1.8000181,0.0,1.4384886,0.004551980595256323,0.1619242922101789,0.123113744,0.9669605,0.004328587668718195,0.6442975724848903
MCF7,MCF10A,COL6A3,CD44,1.5694685,0.492,1.5746248,-0.005653851609224478,-0.07097363584974303,0.11108825,0.96837485,0.6395848424348367,0.6442975724848903
MCF10A,MCF10A,COL4A2,ITGA2_ITGB1,0.48711413,0.361,0.23595524,0.003278264171356182,-0.0567602752148717,0.11767118,0.92219865,0.29158339123996424,0.6519664594641191
Fibroblast,MCF10A,FN1,CD44,0.87143457,0.995,0.6995566,-0.015806062134130792,0.025542689792023232,0.1201889,0.95329195,1.0,0.6575761320660511
Fibroblast,MCF10A,COL6A1,ITGA2_ITGB1,0.74834806,0.243,0.47143915,0.002665220938035195,0.13836555921327687,0.13381162,0.9436767,0.01580801415522915,0.6575761320660511
Fibroblast,MCF10A,COL1A2,ITGA2_ITGB1,1.7964804,0.264,1.4162563,0.0018277603530261312,0.034007629863170186,0.121210985,0.96671075,0.055453821697241515,0.6628785753861042
MCF7,MCF7,COL6A3,CD44,1.5517669,0.714,1.4856869,-0.017075378298107197,-0.13759717881620825,0.10481377,0.9674723,1.0,0.6628785753861042
MCF7,MCF10A,PKM,CD44,0.7099329,0.223,0.49709517,0.00870723080261189,-0.07524467933141943,0.1152091,0.94506854,0.4477827414144827,0.6737454697696349
Fibroblast,Fibroblast,COL6A1,CD44,0.86877716,0.0,0.7233724,0.006593557299666328,0.31395582093843033,0.13842224,0.9540316,0.0003009911494130034,0.6737454697696349
MCF10A,MCF10A,COL6A3,CD44,1.5428529,0.944,1.5412589,-0.017493656608801887,-0.12030421610018927,0.108734325,0.96804523,1.0,0.6816290828040896
MCF7,Fibroblast,COL1A2,ITGA2_ITGB1,1.7216215,1.0,1.3667103,-0.03138871087248295,0.0370810925972449,0.11697057,0.966133,1.0,0.6816290828040896
MCF7,Fibroblast,TNC,ITGA2,0.48687908,0.961,0.23620506,-0.01832030323240644,-0.055944227791738355,0.11308021,0.9222366,0.43279553196202125,0.6892361298927829
Fibroblast,Fibroblast,COL6A2,CD44,0.9030818,0.0,0.7708207,0.00610955644189768,0.31701132549996713,0.1369625,0.9554048,0.0004491759557476562,0.690177518767915
MCF7,MCF7,COL6A1,CD44,0.7056805,1.0,0.4849262,-0.08796850786364124,-0.40717800825946493,0.092793934,0.94442165,1.0,0.690177518767915
MCF10A,Fibroblast,COL1A2,ITGA2_ITGB1,1.7024659,1.0,1.3491718,-0.040169178741233526,-0.005928431218781727,0.11546952,0.96592104,1.0,0.7005450822665554
Fibroblast,MCF10A,COL6A3,CD44,1.5389172,1.0,1.5363251,-0.01924074210655278,-0.11066637998034823,0.10838624,0.9679956,1.0,0.7005450822665554
MCF7,MCF10A,COL4A1,CD44,0.7044021,0.114,0.4901617,0.014701919556803198,-0.06061133278950681,0.118875615,0.9447028,0.3260208034654106,0.7068745942834486
Fibroblast,Fibroblast,FN1,CD44,0.90381634,0.0,0.7718367,0.005086898322610445,0.2643796109484282,0.13260716,0.95543283,0.0009021927988540177,0.7068745942834486
MCF10A,Fibroblast,FN1,ITGA2,0.7340831,1.0,0.4625401,-0.02445852656142222,-0.025931570997270947,0.11787323,0.94316816,1.0,0.7068745942834486
MCF7,MCF10A,COL1A2,ITGA2_ITGB1,1.7180839,0.999,1.3455874,-0.03411293111471314,-0.09083556974976381,0.11516275,0.96587723,1.0,0.719622103335415
MCF10A,MCF7,COL6A3,CD44,1.5251513,0.981,1.4542056,-0.028915183297684607,-0.1869277590666545,0.102592796,0.96713364,1.0,0.719622103335415
MCF10A,Fibroblast,COL4A1,CD44,0.69729984,0.045,0.48619425,0.010056113213434846,0.12234915343367936,0.117913425,0.94449013,0.07440695255030853,0.7238388165217746
MCF7,MCF7,SPARC,ENG,1.1277413,0.989,0.7910417,-0.027097026389521484,-0.15542730756095602,0.11229414,0.9559532,1.0,0.7238388165217746
MCF7,MCF10A,COL4A2,ITGA2_ITGB1,0.48823202,0.378,0.23696296,0.004097843265043033,-0.07021348016626616,0.118173726,0.9223514,0.4039528560385713,0.7261093182475248
Fibroblast,MCF7,COL6A3,CD44,1.5212154,0.998,1.4495504,-0.030662268795435498,-0.17728992294681345,0.102264374,0.9670826,1.0,0.7388561375085825
MCF10A,MCF10A,COL1A2,ITGA2_ITGB1,1.6989282,1.0,1.3283199,-0.04289339898346372,-0.13384509356579044,0.11368491,0.9656638,1.0,0.7388561375085825
MCF7,Fibroblast,COL3A1,ITGA2_ITGB1,0.7291097,0.998,0.45798653,-0.03433844028217685,-0.06716571104378688,0.110591896,0.9429024,1.0,0.7410725168827381
MCF10A,MCF10A,PKM,CD44,0.6963916,0.493,0.4801195,8.913957401283923e-05,-0.06703803016789367,0.11127474,0.9441596,0.6199821705223538,0.7410725168827381
MCF7,Fibroblast,SPARC,ENG,1.1278282,0.994,0.7913584,-0.02703019274770304,-0.026345164015864952,0.1123391,0.95596164,0.9272382515892569,0.7410725168827381
