source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
Fibroblast,MCF7,COL6A1,CD44,0.76009023,0.999,0.5562919,-0.014633600673313587,-0.023703740181861166,0.11754728,0.9452977,1.0,0.4991250324547297
MCF7,MCF7,PKM,CD44,0.6926442,0.496,0.47351554,-0.0005199073535252473,-0.11536149339549207,0.11105416,0.9409797,0.9603999999999999,0.4991250324547297
MCF7,Fibroblast,MMP1,ITGA2,0.4234741,0.998,0.17932649,-0.011713568476806725,0.0547117881194743,0.12462879,0.90750563,0.7168000000000001,0.5010115476873129
Fibroblast,MCF10A,FN1,CD44,0.77315193,0.895,0.5622842,-0.025194396572985313,-0.054882915939935994,0.10423101,0.94557405,1.0,0.5116025754661152
Fibroblast,Fibroblast,PKM,CD44,0.692539,0.502,0.47905856,7.690980286973554e-05,0.11569890289893792,0.11235417,0.94130206,0.31381354582141147,0.5116025754661152
Fibroblast,Fibroblast,COL6A3,CD44,1.4042281,0.0,1.43137,0.004079272606873265,0.14756818156018303,0.12322391,0.96518064,0.005313325592514174,0.5155942445643236
MCF7,MCF7,COL1A1,ITGA2_ITGB1,1.7682467,1.0,1.210635,-0.04073641278060293,-0.19359963972322758,0.11110456,0.962254,1.0,0.5155942445643236
MCF10A,MCF10A,COL6A2,CD44,0.7740494,0.811,0.56333387,-0.027910047673119807,-0.1908843296794318,0.105530836,0.945622,1.0,0.5242863539998059
MCF10A,Fibroblast,COL3A1,ITGA2_ITGB1,0.72834766,0.709,0.43634593,-0.010072626089838518,0.04461931805624708,0.124027185,0.9386683,0.0719037029481832,0.5242863539998059
Fibroblast,MCF7,COL6A3,CD44,1.376527,0.999,1.312842,-0.01443073606678871,-0.07669544372150772,0.11302006,0.9636986,1.0,0.5315652205860997
Fibroblast,Fibroblast,COL5A2,ITGA2_ITGB1,0.43213785,0.0,0.18663035,0.0046341154912076495,0.25444042013390167,0.13185237,0.9091675,0.0007803018919472713,0.5370540861140329
MCF7,Fibroblast,COL3A1,ITGA2_ITGB1,0.72806394,0.985,0.43610674,-0.010230394168707036,0.0474547647427257,0.123959206,0.9386525,0.5234625230517042,0.5371780585092677
MCF7,MCF7,COL6A2,CD44,0.7668388,1.0,0.56457424,-0.03071455740045282,-0.19977394294503914,0.10576321,0.9456786,1.0,0.5371780585092677
MCF7,Fibroblast,COL6A3,CD44,1.3636876,0.999,1.3771229,-0.014629282639925006,0.0850661507078625,0.11855387,0.9645256,1.0,0.5477085188758904
Fibroblast,Fibroblast,COL1A2,ITGA2_ITGB1,1.621536,0.0,1.1893361,0.005340992190612318,0.207704832030136,0.12854488,0.9619303,0.0004000000000000001,0.5477085188758904
MCF7,MCF7,FN1,CD44,0.7701453,1.0,0.56863236,-0.025623677342666844,-0.1879967872441004,0.105407774,0.94586223,1.0,0.5502793794479657
Fibroblast,MCF10A,COL6A2,CD44,0.77994454,0.883,0.57022876,-0.02452019595082597,-0.036720103250962755,0.106822476,0.94593394,1.0,0.5635920072693654
MCF10A,MCF10A,PKM,CD44,0.69015455,0.523,0.4652119,-0.0024688034610807347,-0.09975614692808787,0.109106675,0.9404865,0.9603999999999999,0.5635920072693654
Fibroblast,MCF10A,COL6A3,CD44,1.3620987,0.868,1.251106,-0.024071316400447185,-0.09093972046457055,0.10770532,0.96284664,1.0,0.5640208626674093
MCF10A,MCF7,COL4A2,ITGA2_ITGB1,0.4378298,0.951,0.18880028,-0.03515319941840934,-0.19892507285401595,0.107844636,0.90964365,1.0,0.5727484193350628
