Barcode,CellType
s_008um_00417_00168-1,
s_008um_00654_00073-1,
s_008um_00393_00809-1,
s_008um_00183_00024-1,
s_008um_00609_00128-1,
s_008um_00755_00035-1,
s_008um_00488_00603-1,
s_008um_00301_00314-1,
s_008um_00221_00473-1,
s_008um_00823_00208-1,MCF10A
s_008um_00495_00673-1,
s_008um_00388_00614-1,Fibroblast
s_008um_00355_00148-1,Fibroblast
s_008um_00362_00116-1,MCF10A
s_008um_00253_00539-1,
s_008um_00413_00265-1,
s_008um_00252_00674-1,Fibroblast
s_008um_00617_00546-1,
s_008um_00505_00142-1,
s_008um_00814_00512-1,
s_008um_00272_00757-1,MCF7
s_008um_00776_00639-1,Fibroblast
s_008um_00804_00540-1,
s_008um_00278_00335-1,
s_008um_00120_00495-1,
s_008um_00643_00306-1,
s_008um_00749_00019-1,
s_008um_00830_00514-1,
s_008um_00223_00568-1,Fibroblast
s_008um_00290_00682-1,Fibroblast
s_008um_00380_00345-1,
s_008um_00323_00223-1,Fibroblast
s_008um_00721_00682-1,Fibroblast
s_008um_00733_00629-1,Fibroblast
s_008um_00399_00733-1,Fibroblast
s_008um_00521_00209-1,
s_008um_00518_00143-1,
s_008um_00506_00293-1,
s_008um_00378_00780-1,
s_008um_00725_00135-1,Fibroblast
s_008um_00327_00237-1,Fibroblast
s_008um_00215_00191-1,
