Barcode,PrintPattern
s_008um_00762_00511-1,
s_008um_00629_00493-1,
s_008um_00801_00195-1,
s_008um_00761_00723-1,
s_008um_00673_00709-1,
s_008um_00754_00306-1,
s_008um_00227_00801-1,Fibroblast_CTRL
s_008um_00522_00280-1,
s_008um_00470_00678-1,
s_008um_00678_00332-1,
s_008um_00555_00540-1,
s_008um_00421_00214-1,
s_008um_00694_00837-1,
s_008um_00252_00721-1,Fibroblast_CTRL
s_008um_00264_00785-1,Fibroblast_CTRL
s_008um_00640_00701-1,Random_3
s_008um_00245_00379-1,
s_008um_00674_00824-1,
s_008um_00553_00736-1,Random_3
s_008um_00710_00801-1,
s_008um_00657_00498-1,
s_008um_00612_00791-1,
s_008um_00095_00182-1,MCF10A_CTRL
s_008um_00719_00277-1,
s_008um_00075_00199-1,MCF10A_CTRL
s_008um_00592_00248-1,Pattern_3
s_008um_00688_00169-1,Pattern_3
s_008um_00602_00566-1,Random_3
s_008um_00316_00420-1,
s_008um_00420_00143-1,
s_008um_00698_00033-1,
s_008um_00757_00567-1,
s_008um_00187_00757-1,Fibroblast_CTRL
s_008um_00519_00119-1,
s_008um_00707_00071-1,
s_008um_00569_00408-1,
s_008um_00629_00745-1,Random_3
s_008um_00461_00238-1,
s_008um_00137_00254-1,
s_008um_00047_00799-1,Fibroblast_CTRL
s_008um_00444_00702-1,
s_008um_00080_00723-1,Fibroblast_CTRL
s_008um_00626_00544-1,Random_3
s_008um_00816_00303-1,
s_008um_00538_00756-1,
s_008um_00749_00115-1,
s_008um_00245_00252-1,
s_008um_00450_00671-1,
s_008um_00063_00256-1,MCF10A_CTRL
s_008um_00656_00543-1,Random_3
s_008um_00371_00196-1,
s_008um_00073_00183-1,MCF10A_CTRL
s_008um_00716_00770-1,
s_008um_00076_00765-1,Fibroblast_CTRL
s_008um_00780_00727-1,
s_008um_00098_00793-1,Fibroblast_CTRL
s_008um_00573_00435-1,
s_008um_00654_00731-1,Random_3
s_008um_00198_00607-1,
s_008um_00544_00041-1,
s_008um_00236_00544-1,MCF7_CTRL
s_008um_00734_00607-1,
s_008um_00174_00500-1,MCF7_CTRL
s_008um_00687_00666-1,
s_008um_00556_00076-1,
s_008um_00629_00369-1,
s_008um_00564_00319-1,
s_008um_00774_00214-1,
s_008um_00280_00267-1,
s_008um_00163_00218-1,
s_008um_00163_00698-1,Fibroblast_CTRL
s_008um_00700_00258-1,
s_008um_00314_00460-1,
s_008um_00472_00807-1,
s_008um_00759_00060-1,
s_008um_00630_00346-1,
s_008um_00686_00004-1,
s_008um_00646_00831-1,
s_008um_00054_00198-1,MCF10A_CTRL
s_008um_00365_00187-1,
s_008um_00673_00366-1,
s_008um_00507_00571-1,
s_008um_00199_00469-1,
s_008um_00581_00037-1,
s_008um_00262_00657-1,
s_008um_00793_00210-1,
s_008um_00611_00791-1,
s_008um_00764_00089-1,
s_008um_00705_00689-1,
s_008um_00240_00711-1,Fibroblast_CTRL
s_008um_00537_00575-1,Random_3
s_008um_00606_00794-1,
s_008um_00625_00243-1,Pattern_3
s_008um_00182_00529-1,
s_008um_00159_00747-1,Fibroblast_CTRL
s_008um_00059_00142-1,MCF10A_CTRL
s_008um_00217_00500-1,
s_008um_00145_00821-1,Fibroblast_CTRL
s_008um_00752_00302-1,
s_008um_00333_00369-1,
s_008um_00499_00150-1,
s_008um_00728_00677-1,
s_008um_00041_00820-1,Fibroblast_CTRL
s_008um_00095_00176-1,MCF10A_CTRL
s_008um_00257_00662-1,
s_008um_00785_00715-1,
s_008um_00803_00262-1,
s_008um_00667_00703-1,
s_008um_00660_00173-1,Pattern_3
s_008um_00624_00784-1,
s_008um_00708_00717-1,
s_008um_00264_00546-1,
s_008um_00159_00478-1,MCF7_CTRL
s_008um_00081_00680-1,Fibroblast_CTRL
s_008um_00583_00103-1,Pattern_3
s_008um_00604_00349-1,
s_008um_00386_00061-1,
s_008um_00558_00760-1,
s_008um_00114_00678-1,
s_008um_00532_00241-1,
s_008um_00159_00477-1,MCF7_CTRL
s_008um_00640_00486-1,
s_008um_00711_00217-1,
s_008um_00725_00278-1,
s_008um_00704_00298-1,
s_008um_00661_00054-1,
s_008um_00472_00752-1,
s_008um_00757_00131-1,
s_008um_00698_00301-1,
s_008um_00161_00476-1,MCF7_CTRL
